timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
1996,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-96,31-Dec-96,X,X,X,X,X,138000,37,55301,23,0.1,16,29,1.1,2,.,.,.,1
1997,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-97,31-Dec-97,X,X,X,X,X,137500,27,52975,22,0.2,25,46,2.7,5,.,.,.,1
1998,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-98,31-Dec-98,X,X,X,X,X,152979,33,60245,27,0.1,18,33,2.7,5,.,.,.,1
1999,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-99,31-Dec-99,X,X,X,X,X,146446,26,64442,30,0.1,18,33,1.1,2,.,.,.,1
2000,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-00,31-Dec-00,X,X,X,X,X,175000,19,60216,29,0,19,36,1.1,2,.,.,.,1
2001,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-01,31-Dec-01,X,X,X,X,X,185000,24,73946,45,0.1,20,38,1.6,3,.,.,.,1
2002,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-02,31-Dec-02,X,X,X,X,X,220000,17,71526,63,0.1,17,31,3.2,6,.,.,.,1
2003,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-03,31-Dec-03,X,X,X,X,X,237251,28,73125,72,0.2,12,23,0.5,1,.,.,.,1
2004,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-04,31-Dec-04,X,X,X,X,X,299000,27,69021,82,0.1,20,38,0.5,1,.,.,.,1
2005,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-05,31-Dec-05,X,X,X,X,X,360000,14,69021,82,0.1,9.1,17,1.1,2,.,.,.,1
2006,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-06,31-Dec-06,X,X,X,X,X,413000,24,69021,82,0.1,9.6,18,0.5,1,.,.,.,1
2007,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-07,31-Dec-07,X,X,X,X,X,365950,10,69021,82,0.1,12,22,2.7,5,.,.,.,1
2008,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-08,31-Dec-08,X,X,X,X,X,435000,15,69021,82,0.1,30,56,8,15,.,.,.,1
2009,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-09,31-Dec-09,X,X,X,X,X,330000,5,69021,82,0.1,35,66,9.1,17,.,.,.,1
2010,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-10,31-Dec-10,X,X,X,X,X,357500,6,69021,82,0.1,32,59,12,22,.,.,.,1
2011,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-11,31-Dec-11,X,X,X,X,X,342500,4,69021,82,0.1,3.2,6,2.6,5,.,.,.,1
2012,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-12,31-Dec-12,X,X,X,X,X,324950,12,69021,82,0.1,0.5,1,0.5,1,.,.,.,1
2013,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-13,31-Dec-13,X,X,X,X,X,338000,17,69021,82,0.1,0,0,0.5,1,.,.,.,1
2014,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-14,31-Dec-14,X,X,X,X,X,398500,12,69021,82,0.1,0,0,0.5,1,.,.,.,1
2015,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-15,31-Dec-15,X,X,X,X,X,472000,12,69021,82,0.1,0,0,0.5,1,.,.,.,1
2016,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-16,31-Dec-16,X,X,X,X,X,442500,16,69021,82,0.1,0,0,0.5,1,.,.,.,1
1995,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",X,.,Cluster 36,1-Jan-95,31-Dec-95,X,X,X,X,X,116945,11,59009,13,0,8.6,3,0,0,.,.,.,1
1996,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",X,.,Cluster 36,1-Jan-96,31-Dec-96,X,X,X,X,X,88000,13,58506,28,0.1,11,4,5.7,2,.,.,.,1
1997,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",X,.,Cluster 36,1-Jan-97,31-Dec-97,X,X,X,X,X,109900,15,55135,30,0.1,17,6,0,0,.,.,.,1
